time_ms,neuron_id
9476,20
9501,20
9526,20
9551,20
9577,20
9602,20
9628,20
9654,20
9680,20
9706,20
9732,20
9758,20
9785,20
9811,20
9838,20
9864,20
9891,20
9917,20
9944,20
9971,20
9997,20
627,120
659,120
673,120
689,120
705,120
721,120
738,120
756,120
774,120
793,120
813,120
833,120
853,120
874,120
896,120
918,120
940,120
963,120
987,120
1011,120
1035,120
1059,120
1084,120
1109,120
1134,120
1159,120
1185,120
1211,120
1237,120
1263,120
1289,120
1315,120
1341,120
1368,120
1394,120
1421,120
1447,120
1474,120
1500,120
1527,120
1554,120
2492,120
2524,120
2540,120
2556,120
2572,120
2589,120
2607,120
2625,120
2644,120
2663,120
2683,120
2704,120
2725,120
2746,120
2768,120
2791,120
2814,120
2837,120
2861,120
2885,120
2909,120
2934,120
2959,120
2984,120
3009,120
3035,120
3061,120
3086,120
3112,120
3139,120
3165,120
3191,120
3217,120
3244,120
3270,120
3297,120
3324,120
3350,120
3377,120
3404,120
3430,120
4368,120
4401,120
4416,120
4432,120
4449,120
4466,120
4483,120
4502,120
4520,120
4540,120
4560,120
4580,120
4601,120
4623,120
4645,120
4667,120
4690,120
4713,120
4737,120
4761,120
4786,120
4810,120
4835,120
4860,120
4886,120
4911,120
4937,120
4963,120
4989,120
5015,120
5041,120
5068,120
5094,120
5120,120
5147,120
5173,120
5200,120
5227,120
5253,120
5280,120
5307,120
6245,120
6277,120
6292,120
6308,120
6325,120
6342,120
6359,120
6378,120
6396,120
6416,120
6436,120
6456,120
6477,120
6499,120
6521,120
6543,120
6566,120
6589,120
6613,120
6637,120
6662,120
6686,120
6711,120
6736,120
6762,120
6787,120
6813,120
6839,120
6865,120
6891,120
6917,120
6944,120
6970,120
6996,120
7023,120
7049,120
7076,120
7103,120
7129,120
7156,120
7183,120
8121,120
8153,120
8169,120
8185,120
8201,120
8218,120
8236,120
8254,120
8273,120
8292,120
8312,120
8332,120
8353,120
8375,120
8397,120
8419,120
8442,120
8466,120
8489,120
8514,120
8538,120
8563,120
8588,120
8613,120
8638,120
8664,120
8690,120
8715,120
8741,120
8768,120
8794,120
8820,120
8846,120
8873,120
8899,120
8926,120
8952,120
8979,120
9006,120
9032,120
9059,120
9997,120
10030,120
10045,120
2,21
16,21
31,21
46,21
62,21
79,21
96,21
114,21
132,21
151,21
170,21
190,21
211,21
232,21
254,21
276,21
298,21
321,21
345,21
368,21
393,21
417,21
442,21
467,21
492,21
517,21
543,21
569,21
595,21
621,21
1547,21
1580,21
1595,21
1611,21
1628,21
1645,21
1662,21
1681,21
1699,21
1719,21
1739,21
1759,21
1780,21
1802,21
1824,21
1846,21
1869,21
1892,21
1916,21
1940,21
1965,21
1989,21
2014,21
2039,21
2065,21
2090,21
2116,21
2142,21
2168,21
2194,21
2220,21
2247,21
2273,21
2299,21
2326,21
2352,21
2379,21
2406,21
2432,21
2459,21
2486,21
3424,21
3456,21
3472,21
3488,21
3504,21
3521,21
